year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
1992,4,11.2,5.4,0.0,69.5,127.2,aberporth,52.139,4.57
1992,5,16.6,9.1,0.0,43.8,245.0,aberporth,52.139,4.57
1992,6,17.6,11.0,0.0,49.6,212.8,aberporth,52.139,4.57
1992,7,17.8,12.4,0.0,60.0,166.2,aberporth,52.139,4.57
1992,8,16.6,11.3,0.0,149.3,170.9,aberporth,52.139,4.57
1992,9,15.2,10.3,0.0,74.6,116.0,aberporth,52.139,4.57
1992,10,10.6,6.7,0.0,77.6,84.1,aberporth,52.139,4.57
1992,11,10.5,5.9,0.0,109.6,50.2,aberporth,52.139,4.57
1992,12,7.2,2.6,5.0,109.9,74.6,aberporth,52.139,4.57
1993,1,8.9,3.8,1.0,93.4,28.6,aberporth,52.139,4.57
1993,2,7.3,3.7,1.0,23.5,44.1,aberporth,52.139,4.57
1993,3,8.8,4.4,0.0,24.6,101.7,aberporth,52.139,4.57
1993,4,11.8,6.5,0.0,57.0,158.5,aberporth,52.139,4.57
1993,5,13.8,7.8,0.0,108.4,195.1,aberporth,52.139,4.57
1993,6,15.9,10.6,0.0,190.6,182.4,aberporth,52.139,4.57
1993,7,16.6,11.6,0.0,74.0,191.2,aberporth,52.139,4.57
1993,8,16.6,10.9,0.0,47.8,185.6,aberporth,52.139,4.57
1993,9,15.2,9.9,0.0,66.8,136.0,aberporth,52.139,4.57
1993,10,11.1,6.1,0.0,45.6,135.8,aberporth,52.139,4.57
1993,11,8.1,3.1,6.0,112.9,72.2,aberporth,52.139,4.57
1993,12,8.5,4.2,1.0,142.6,28.6,aberporth,52.139,4.57
1994,1,8.1,3.6,1.0,106.5,59.1,aberporth,52.139,4.57
1994,2,6.4,1.7,6.0,87.2,61.5,aberporth,52.139,4.57
1994,3,9.5,5.3,0.0,114.8,104.4,aberporth,52.139,4.57
1994,4,10.0,4.8,0.0,73.8,172.2,aberporth,52.139,4.57
1994,5,13.5,7.4,0.0,41.3,185.1,aberporth,52.139,4.57
1994,6,16.0,9.9,0.0,28.2,183.3,aberporth,52.139,4.57
1994,7,18.8,12.2,0.0,54.6,206.2,aberporth,52.139,4.57
1994,8,17.7,12.0,0.0,80.0,186.4,aberporth,52.139,4.57
1994,9,14.7,10.1,0.0,115.8,109.3,aberporth,52.139,4.57
1994,10,13.6,8.5,0.0,91.8,141.9,aberporth,52.139,4.57
1994,11,12.2,8.8,0.0,99.6,43.7,aberporth,52.139,4.57
1994,12,9.8,5.2,2.0,157.4,51.0,aberporth,52.139,4.57
1995,1,8.4,3.5,2.0,145.6,36.9,aberporth,52.139,4.57
1995,2,9.2,4.5,0.0,109.1,44.0,aberporth,52.139,4.57
1995,3,8.3,2.8,4.0,64.7,149.9,aberporth,52.139,4.57
1995,4,10.8,5.5,2.0,26.6,183.8,aberporth,52.139,4.57
1995,5,14.0,7.7,0.0,50.2,204.9,aberporth,52.139,4.57
1995,6,16.5,10.6,0.0,13.4,260.2,aberporth,52.139,4.57
1995,7,21.1,13.9,0.0,36.9,227.8,aberporth,52.139,4.57
1995,8,22.4,14.9,0.0,7.8,292.1,aberporth,52.139,4.57
